tfmin	tfmax	astro	rank	surge	rh	crh	mtime
0.00	48.00	low	1	neg	3.30	3.30	2007-07-25 11:42:22
0.00	48.00	low	2	neg	1.10	4.40	2007-07-25 11:42:22
0.00	48.00	low	3	neg	0.66	5.05	2007-07-25 11:42:22
0.00	48.00	low	4	neg	1.32	6.37	2007-07-25 11:42:22
0.00	48.00	low	5	neg	1.32	7.69	2007-07-25 11:42:22
0.00	48.00	low	6	neg	0.88	8.57	2007-07-25 11:42:22
0.00	48.00	low	7	neg	0.66	9.23	2007-07-25 11:42:22
0.00	48.00	low	8	neg	0.44	9.67	2007-07-25 11:42:22
0.00	48.00	low	9	neg	0.00	9.67	2007-07-25 11:42:22
0.00	48.00	low	10	neg	0.66	10.33	2007-07-25 11:42:22
0.00	48.00	low	11	neg	0.44	10.77	2007-07-25 11:42:22
0.00	48.00	low	12	neg	0.00	10.77	2007-07-25 11:42:22
0.00	48.00	low	13	neg	0.44	11.21	2007-07-25 11:42:22
0.00	48.00	low	14	neg	0.66	11.87	2007-07-25 11:42:22
0.00	48.00	low	15	neg	0.44	12.31	2007-07-25 11:42:22
0.00	48.00	low	16	neg	0.44	12.75	2007-07-25 11:42:22
0.00	48.00	low	17	neg	0.44	13.19	2007-07-25 11:42:22
0.00	48.00	low	18	neg	0.22	13.41	2007-07-25 11:42:22
0.00	48.00	low	19	neg	0.22	13.63	2007-07-25 11:42:22
0.00	48.00	low	20	neg	1.32	14.95	2007-07-25 11:42:22
0.00	48.00	low	21	neg	0.22	15.16	2007-07-25 11:42:22
0.00	48.00	low	22	neg	0.00	15.16	2007-07-25 11:42:22
0.00	48.00	low	23	neg	0.22	15.38	2007-07-25 11:42:22
0.00	48.00	low	24	neg	0.44	15.82	2007-07-25 11:42:22
0.00	48.00	low	25	neg	0.22	16.04	2007-07-25 11:42:22
0.00	48.00	low	26	neg	0.88	16.92	2007-07-25 11:42:22
0.00	48.00	low	27	neg	0.22	17.14	2007-07-25 11:42:22
0.00	48.00	low	28	neg	0.00	17.14	2007-07-25 11:42:22
0.00	48.00	low	29	neg	0.00	17.14	2007-07-25 11:42:22
0.00	48.00	low	30	neg	0.44	17.58	2007-07-25 11:42:22
0.00	48.00	low	31	neg	0.00	17.58	2007-07-25 11:42:22
0.00	48.00	low	32	neg	1.10	18.68	2007-07-25 11:42:22
0.00	48.00	low	33	neg	0.22	18.90	2007-07-25 11:42:22
0.00	48.00	low	34	neg	0.00	18.90	2007-07-25 11:42:22
0.00	48.00	low	35	neg	0.88	19.78	2007-07-25 11:42:22
0.00	48.00	low	36	neg	0.88	20.66	2007-07-25 11:42:22
0.00	48.00	low	37	neg	0.22	20.88	2007-07-25 11:42:22
0.00	48.00	low	38	neg	0.44	21.32	2007-07-25 11:42:22
0.00	48.00	low	39	neg	0.88	22.20	2007-07-25 11:42:22
0.00	48.00	low	40	neg	0.44	22.64	2007-07-25 11:42:22
0.00	48.00	low	41	neg	0.44	23.08	2007-07-25 11:42:22
0.00	48.00	low	42	neg	0.66	23.74	2007-07-25 11:42:22
0.00	48.00	low	43	neg	0.44	24.18	2007-07-25 11:42:22
0.00	48.00	low	44	neg	0.44	24.62	2007-07-25 11:42:22
0.00	48.00	low	45	neg	0.00	24.62	2007-07-25 11:42:22
0.00	48.00	low	46	neg	1.32	25.93	2007-07-25 11:42:22
0.00	48.00	low	47	neg	0.00	25.93	2007-07-25 11:42:22
0.00	48.00	low	48	neg	1.54	27.47	2007-07-25 11:42:22
0.00	48.00	low	49	neg	0.88	28.35	2007-07-25 11:42:22
0.00	48.00	low	50	neg	2.64	30.99	2007-07-25 11:42:22
0.00	48.00	low	51	neg	2.86	33.85	2007-07-25 11:42:22
0.00	48.00	low	52	neg	4.40	38.24	2007-07-25 11:42:22
0.00	48.00	low	53	neg	61.76	100.00	2007-07-25 11:42:22
0.00	48.00	low	1	pos	44.44	44.44	2007-07-25 11:42:22
0.00	48.00	low	2	pos	5.83	50.27	2007-07-25 11:42:22
0.00	48.00	low	3	pos	2.91	53.19	2007-07-25 11:42:22
0.00	48.00	low	4	pos	1.82	55.01	2007-07-25 11:42:22
0.00	48.00	low	5	pos	2.55	57.56	2007-07-25 11:42:22
0.00	48.00	low	6	pos	1.64	59.20	2007-07-25 11:42:22
0.00	48.00	low	7	pos	1.09	60.29	2007-07-25 11:42:22
0.00	48.00	low	8	pos	0.91	61.20	2007-07-25 11:42:22
0.00	48.00	low	9	pos	1.46	62.66	2007-07-25 11:42:22
0.00	48.00	low	10	pos	1.82	64.48	2007-07-25 11:42:22
0.00	48.00	low	11	pos	1.82	66.30	2007-07-25 11:42:22
0.00	48.00	low	12	pos	1.09	67.40	2007-07-25 11:42:22
0.00	48.00	low	13	pos	0.73	68.12	2007-07-25 11:42:22
0.00	48.00	low	14	pos	0.73	68.85	2007-07-25 11:42:22
0.00	48.00	low	15	pos	0.91	69.76	2007-07-25 11:42:22
0.00	48.00	low	16	pos	0.73	70.49	2007-07-25 11:42:22
0.00	48.00	low	17	pos	1.09	71.58	2007-07-25 11:42:22
0.00	48.00	low	18	pos	0.91	72.50	2007-07-25 11:42:22
0.00	48.00	low	19	pos	0.18	72.68	2007-07-25 11:42:22
0.00	48.00	low	20	pos	1.09	73.77	2007-07-25 11:42:22
0.00	48.00	low	21	pos	0.36	74.13	2007-07-25 11:42:22
0.00	48.00	low	22	pos	0.73	74.86	2007-07-25 11:42:22
