"","leadtime","CRPSS"
"1","0-1",0.382075796007432
"2","108-12",0.343149460142852
"3","12-2",0.464918002148491
"4","120-13",0.297553925507166
"5","132-14",0.255638225604138
"6","144-15",0.225312480038964
"7","156-16",0.184888819731464
"8","168-18",0.157383953329802
"9","180-19",0.135499704595571
"10","192-20",0.116221679963851
"11","204-21",0.272375644544698
"12","216-22",0.0915359418421794
"13","228-24",0.0822157914170454
"14","24-3",0.463414655889542
"15","36-4",0.483821269456837
"16","48-6",0.570172994208102
"17","60-7",0.448101270386043
"18","72-8",0.424000208066296
"19","84-9",0.401205834105659
"20","96-10",0.38395372416442
